created_at,run_started_at,run_completed_at,run_id,model_name,image_size,best_epoch,epochs_completed,val_loss,primary_f1,secondary_f1,batch_size,num_workers,num_epochs,early_stopping_patience,seed,deterministic,prediction_threshold,use_amp,device,train_samples,val_samples,num_classes,num_parameters,learning_rate,head_learning_rate,backbone_learning_rate,weight_decay,warmup_ratio,min_warmup_epochs,min_lr,criterion,optimizer,scheduler,weight_decay_param_groups,model_specific_weight_decay,pretrained_weights,model_path,val_submission_csv
2026-05-03T19:54:22,2026-05-03T16:11:28,2026-05-03T19:54:22,20260503_161128_swinsmall_img224_seed42,swinsmall,224,25,26,0.001190,0.549204,0.888653,32,6,26,7,42,True,0.6,True,cuda,97222,19239,2174,50509064,,0.0001,1e-05,0.001,0.05,2,1e-06,AsymmetricLoss,AdamW,SequentialLR,True,False,Swin_S_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_synth/swinsmall/20260503_161128_swinsmall_img224_seed42/model.pt,20260503_161128_swinsmall_img224_seed42_val_submission.csv
2026-05-03T23:00:06,2026-05-03T21:15:00,2026-05-03T23:00:06,20260503_211500_convnext-tiny_img224_seed42,convnext-tiny,224,24,26,0.001286,0.540091,0.879062,32,6,26,7,42,True,0.6,True,cuda,97222,19239,2174,29491934,,0.0001,1e-05,0.05,0.05,2,1e-06,AsymmetricLoss,AdamW,SequentialLR,True,True,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_synth/convnext-tiny/20260503_211500_convnext-tiny_img224_seed42/model.pt,20260503_211500_convnext-tiny_img224_seed42_val_submission.csv
2026-05-04T00:20:13,2026-05-03T23:01:38,2026-05-04T00:20:13,20260503_230138_efficientnetv2_img224_seed42,efficientnetv2,224,9,16,0.001200,0.539807,0.883823,32,6,26,7,42,True,0.6,True,cuda,97222,19239,2174,22962382,,0.0001,1e-05,0.001,0.05,2,1e-06,AsymmetricLoss,AdamW,SequentialLR,True,False,EfficientNet_V2_S_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_synth/efficientnetv2/20260503_230138_efficientnetv2_img224_seed42/model.pt,20260503_230138_efficientnetv2_img224_seed42_val_submission.csv
2026-05-04T03:48:04,2026-05-04T00:22:43,2026-05-04T03:48:04,20260504_002243_convnext_img224_seed42,convnext,224,26,26,0.001252,0.547492,0.884333,32,6,26,7,42,True,0.6,True,cuda,97222,19239,2174,89794814,,0.0001,1e-05,0.05,0.05,2,1e-06,AsymmetricLoss,AdamW,SequentialLR,True,True,ConvNeXt_Base_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_synth/convnext/20260504_002243_convnext_img224_seed42/model.pt,20260504_002243_convnext_img224_seed42_val_submission.csv
