created_at,run_started_at,run_completed_at,run_id,model_name,best_epoch,epochs_completed,val_loss,bert,rouge,bleurt,batch_size,num_workers,num_epochs,early_stopping_patience,seed,use_amp,amp_dtype,device,train_samples,val_samples,criterion,optimizer,scheduler,model_path,lora_target_modules,delayed_swin_unfreeze_stages,delayed_swin_unfreeze_epoch
2026-04-30T08:00:43,2026-04-30T06:06:44,2026-04-30T08:00:43,20260430_060644_BiomedCLIPSwinQFormerT5_seed42,BiomedCLIPSwinQFormerT5,10,10,4.366935,,,,24,6,10,3,42,True,bfloat16,cuda,97364,19240,T5ForConditionalGeneration built-in CrossEntropyLoss(ignore_index=-100),AdamW,SequentialLR,/home/userdata/karandreas/image-clef-2026/models/caption/20260430_060644_BiomedCLIPSwinQFormerT5_seed42,,,
2026-04-30T14:03:57,2026-04-30T10:51:39,2026-04-30T14:03:57,20260430_105139_BiomedCLIPSwinQFormerT5_seed42,BiomedCLIPSwinQFormerT5,16,16,2.680143,,,,24,6,16,3,42,True,bfloat16,cuda,97364,19240,T5ForConditionalGeneration built-in CrossEntropyLoss(ignore_index=-100),AdamW,SequentialLR,/home/userdata/karandreas/image-clef-2026/models/caption/20260430_105139_BiomedCLIPSwinQFormerT5_seed42,,,
2026-05-02T02:07:13,2026-05-01T20:42:37,2026-05-02T02:07:13,20260501_204237_BiomedCLIPSwinQFormerT5_seed42,BiomedCLIPSwinQFormerT5,25,26,2.530842,,,,24,6,26,3,42,True,bfloat16,cuda,97364,19240,T5ForConditionalGeneration built-in CrossEntropyLoss(ignore_index=-100),AdamW,SequentialLR,/home/userdata/karandreas/image-clef-2026/models/caption/20260501_204237_BiomedCLIPSwinQFormerT5_seed42,"q,k,v,o",0,
2026-05-04T10:45:04,2026-05-04T03:57:26,2026-05-04T10:45:04,20260504_035726_BiomedCLIPSwinQFormerT5_seed42,BiomedCLIPSwinQFormerT5,27,30,2.570244,,,,24,6,32,3,42,True,bfloat16,cuda,97364,19240,T5ForConditionalGeneration built-in CrossEntropyLoss(ignore_index=-100),AdamW,SequentialLR,/home/userdata/karandreas/image-clef-2026/models/caption/20260504_035726_BiomedCLIPSwinQFormerT5_seed42,"q,k,v,o",0,
